contrast,site_sys,ratio,std.error,df,z.ratio,p.value,loo,SE,asymp.LCL,asymp.UCL
ccrye / no,East_S_grain,0.65280058161110055,0.25779845845437604,Inf,-1.079947233210097,0.28016567826785654,9,0.25779845845437604,0.3409378073607778,1.2499306036213345
ccrye / no,West_F_grain,0.6994235028679734,0.2527384183599244,Inf,-0.9893355350254199,0.3224990035004561,9,0.2527384183599244,0.3860181884300738,1.2672802759725974
ccrye / no,Central_B42_grain,3.0070523862306144,1.1049612877265107,Inf,2.996164128152185,0.0027339923663400206,10,1.1049612877265107,1.6430396659024262,5.503436247577617
ccrye / no,Central_B44_grain,0.8328831029856963,0.2741572606005784,Inf,-0.5555302541738278,0.5785320223244237,10,0.2741572606005784,0.484667214682712,1.4312795300033032
ccrye / no,Central_B44_silage,0.3885252003564943,0.12387301067177506,Inf,-2.96521939872708,0.0030246713392457236,10,0.12387301067177506,0.22996597870619825,0.6564094052577589
ccrye / no,East_S_grain,0.653166804289735,0.24524775774576568,Inf,-1.1343573415964285,0.2566446852093599,10,0.24524775774576568,0.35221128789059297,1.2112810943145795
ccrye / no,West_F_grain,0.6996537809799896,0.23830221745881375,Inf,-1.0486478437277638,0.2943402272424947,10,0.23830221745881375,0.39955368650575895,1.2251555417260296
ccrye / no,Central_B42_grain,2.324422825638668,0.8431052093486451,Inf,2.325433401119576,0.020048797204626982,11,0.8431052093486451,1.2799962295909377,4.221060458964575
ccrye / no,Central_B44_grain,0.8673809822153982,0.33117609865404113,Inf,-0.3726366153036565,0.709418917409461,11,0.33117609865404113,0.4628736639048521,1.6253890142766931
ccrye / no,Central_B44_silage,0.3885451734512713,0.13302904731282986,Inf,-2.7611230069140253,0.005760297658297138,11,0.13302904731282986,0.22124017947883046,0.6823686012545652
ccrye / no,East_S_grain,0.6532209403384401,0.26190406775629405,Inf,-1.0620969592952794,0.28819167037279203,11,0.26190406775629405,0.33778973481800684,1.2632047481446722
ccrye / no,West_F_grain,0.6993871112246339,0.2573347426298141,Inf,-0.9717556071907377,0.33117214554946883,11,0.2573347426298141,0.3818361781035267,1.2810266794953042
ccrye / no,Central_B42_grain,2.3297704568637423,0.8258476831136512,Inf,2.385971903369319,0.017034052400433437,12,0.8258476831136512,1.300447755942378,4.1738165619285335
ccrye / no,Central_B44_grain,0.967047070094176,0.35876422501279837,Inf,-0.0903209286055118,0.9280321894995193,12,0.35876422501279837,0.5253285565890026,1.7801812295336152
ccrye / no,Central_B44_silage,0.38910298714598407,0.12983614409550315,Inf,-2.828786072032323,0.004672492071595475,12,0.12983614409550315,0.22474989416671468,0.6736427403770954
ccrye / no,East_S_grain,0.6530498023009661,0.2557232255374587,Inf,-1.0881520504264486,0.27652798860219385,12,0.2557232255374587,0.34294038006906485,1.2435807186060832
ccrye / no,West_F_grain,0.699442235867395,0.25031102155161705,Inf,-0.9988815537373745,0.3178520730543703,12,0.25031102155161705,0.3882446235861415,1.2600804018774399
ccrye / no,Central_B42_grain,2.3359489095153765,0.8060301986180782,Inf,2.4587931792361823,0.013940490097264814,13,0.8060301986180782,1.3242598305589413,4.120533736617941
ccrye / no,Central_B44_grain,1.0048509517831858,0.36217092877070306,Inf,0.01342652953147476,0.9892875012426915,13,0.36217092877070306,0.5554353310424386,1.8178991844190509
